ID,SKU,name,description,current_price,current_stock,creation_date,last_update
1,SKU-00001,Laptop Lenovo 3643,Equipo portátil para trabajo y estudio,27775.21,16,2025-06-27 00:00:00,2025-07-30 00:00:00
2,SKU-00002,Memoria USB Verbatim 9415,Memoria USB para almacenamiento y transferencia de archivos,1610.96,95,2025-01-02 00:00:00,2025-06-18 00:00:00
3,SKU-00003,Router D-Link 1319,Router inalámbrico para conexión de red,1019.04,35,2026-03-10 00:00:00,2026-05-09 00:00:00
4,SKU-00004,Monitor Dell 9083,Monitor para computadora de alta resolución,7193.77,37,2026-05-06 00:00:00,2026-09-21 00:00:00
5,SKU-00005,Disco SSD Crucial 4730,Unidad SSD para almacenamiento de datos,2162.04,43,2026-05-01 00:00:00,2026-09-21 00:00:00
6,SKU-00006,Monitor AOC 3338,Monitor para computadora de alta resolución,4526.18,21,2026-06-28 00:00:00,2026-09-14 00:00:00
7,SKU-00007,Router TP-Link 3953,Router inalámbrico para conexión de red,370.01,50,2025-01-19 00:00:00,2025-06-15 00:00:00
8,SKU-00008,Teclado HP 3468,Teclado para computadora de uso diario,719.47,61,2025-12-25 00:00:00,2026-07-19 00:00:00
9,SKU-00009,Audífonos JBL 9903,"Audífonos para música, llamadas y multimedia",1517.4,75,2025-07-02 00:00:00,2025-11-08 00:00:00
10,SKU-00010,Memoria USB Kingston 2215,Memoria USB para almacenamiento y transferencia de archivos,303.53,121,2025-02-12 00:00:00,2025-07-16 00:00:00
11,SKU-00011,Memoria USB PNY 7775,Memoria USB para almacenamiento y transferencia de archivos,1327.74,34,2026-01-18 00:00:00,2026-07-31 00:00:00
12,SKU-00012,Monitor Samsung 1375,Monitor para computadora de alta resolución,3455.11,16,2025-10-06 00:00:00,2025-10-13 00:00:00
13,SKU-00013,Laptop Lenovo 3136,Equipo portátil para trabajo y estudio,24469.43,26,2026-01-09 00:00:00,2026-05-07 00:00:00
14,SKU-00014,Audífonos JBL 7819,"Audífonos para música, llamadas y multimedia",2621.71,76,2026-02-17 00:00:00,2026-06-23 00:00:00
15,SKU-00015,Cable USB Belkin 9888,Cable USB para conexión y transferencia de datos,422.92,19,2026-05-11 00:00:00,2026-09-21 00:00:00
16,SKU-00016,Disco SSD ADATA 415,Unidad SSD para almacenamiento de datos,1802.5,80,2026-02-12 00:00:00,2026-02-22 00:00:00
17,SKU-00017,Laptop ASUS 8030,Equipo portátil para trabajo y estudio,23052.58,33,2026-03-23 00:00:00,2026-09-21 00:00:00
18,SKU-00018,Webcam Trust 4262,Cámara web para videollamadas,2727.21,52,2025-11-12 00:00:00,2026-02-14 00:00:00
19,SKU-00019,Cable USB UGREEN 8154,Cable USB para conexión y transferencia de datos,696.19,47,2025-12-18 00:00:00,2026-05-26 00:00:00
20,SKU-00020,Teclado Microsoft 7936,Teclado para computadora de uso diario,517.78,39,2025-01-14 00:00:00,2025-01-30 00:00:00
21,SKU-00021,Cable USB Amazon Basics 772,Cable USB para conexión y transferencia de datos,184.29,102,2025-06-26 00:00:00,2026-01-20 00:00:00
22,SKU-00022,Disco SSD Samsung 2375,Unidad SSD para almacenamiento de datos,1850.42,40,2025-10-22 00:00:00,2025-12-12 00:00:00
23,SKU-00023,Webcam Microsoft 3689,Cámara web para videollamadas,1000.83,69,2025-04-09 00:00:00,2025-08-04 00:00:00
24,SKU-00024,Laptop Dell 9277,Equipo portátil para trabajo y estudio,19427.61,6,2025-04-20 00:00:00,2025-06-24 00:00:00
25,SKU-00025,Audífonos HyperX 6013,"Audífonos para música, llamadas y multimedia",1372.37,48,2026-07-19 00:00:00,2026-09-21 00:00:00
26,SKU-00026,Audífonos Sony 6045,"Audífonos para música, llamadas y multimedia",440.57,95,2026-05-03 00:00:00,2026-07-23 00:00:00
27,SKU-00027,Webcam HP 5755,Cámara web para videollamadas,421.65,84,2025-01-05 00:00:00,2025-04-30 00:00:00
28,SKU-00028,Laptop HP 8060,Equipo portátil para trabajo y estudio,12331.3,22,2025-07-17 00:00:00,2026-03-08 00:00:00
29,SKU-00029,Audífonos Philips 1054,"Audífonos para música, llamadas y multimedia",1855.02,21,2026-01-01 00:00:00,2026-02-15 00:00:00
